,Id,MSSubClass,MSZoning,Street,LotShape,Utilities,HouseStyle,OverallQual,OverallCond,RoofStyle,ExterCond,Foundation,BsmtCond,GarageCars,Fence,SaleType,SaleCondition,SalePrice
39,40,90,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,PConc,None,0,None,WD,AdjLand,82000
40,41,20,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,GdWo,WD,Abnorml,160000
41,42,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,Gd,CBlock,TA,1,None,WD,Normal,170000
42,43,85,RL,Pave,IR1,AllPub,SFoyer,5,7,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,144000
43,44,20,RL,Pave,IR1,AllPub,1Story,5,6,Hip,TA,CBlock,TA,1,MnPrv,WD,Normal,130250
44,45,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal,141000
45,46,120,RL,Pave,Reg,AllPub,1Story,9,5,Hip,TA,PConc,TA,2,None,WD,Normal,319900
46,47,50,RL,Pave,IR1,AllPub,1.5Fin,7,5,Gable,TA,PConc,TA,2,None,WD,Abnorml,239686
47,48,20,FV,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,249700
48,49,190,RM,Pave,Reg,AllPub,2Story,4,5,Gable,TA,BrkTil,TA,0,None,New,Partial,113000
49,50,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,127000
50,51,60,RL,Pave,IR2,AllPub,2Story,6,6,Gable,TA,PConc,TA,2,None,WD,Normal,177000
51,52,50,RM,Pave,Reg,AllPub,1.5Fin,6,6,Gable,TA,PConc,TA,2,MnPrv,WD,Normal,114500
52,53,90,RM,Grvl,IR2,AllPub,1Story,5,5,Gable,TA,CBlock,TA,2,None,WD,Normal,110000
53,54,20,RL,Pave,IR1,AllPub,1Story,9,5,Gable,TA,CBlock,TA,3,None,WD,Normal,385000
54,55,80,RL,Pave,Reg,AllPub,SLvl,5,5,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,130000
55,56,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal,180500
56,57,160,FV,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Abnorml,172500
57,58,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,196500
58,59,60,RL,Pave,IR2,AllPub,2Story,10,5,Hip,TA,PConc,TA,3,None,New,Partial,438780
59,60,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,124900
60,61,20,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,New,Partial,158000
61,62,75,RM,Pave,Reg,AllPub,2.5Unf,5,7,Gable,TA,BrkTil,Fa,1,None,WD,Normal,101000
62,63,120,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,Gd,2,None,WD,Normal,202500
63,64,70,RM,Pave,IR1,AllPub,2Story,7,6,Gable,TA,BrkTil,TA,2,GdPrv,WD,Normal,140000
64,65,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,GdPrv,WD,Normal,219500
65,66,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,317000
66,67,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,CBlock,TA,2,None,WD,Normal,180000
67,68,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,226000
68,69,30,RM,Pave,Reg,AllPub,1Story,4,6,Gable,Gd,CBlock,TA,1,None,WD,Normal,80000
69,70,50,RL,Pave,Reg,AllPub,1.5Fin,7,4,Gable,TA,CBlock,TA,2,None,WD,Normal,225000
70,71,20,RL,Pave,IR1,AllPub,1Story,7,6,Gable,Gd,CBlock,TA,2,None,WD,Normal,244000
71,72,20,RL,Pave,Reg,AllPub,1Story,4,6,Gable,TA,CBlock,TA,2,None,WD,Normal,129500
72,73,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,185000
73,74,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,2,GdWo,WD,Normal,144900
74,75,50,RM,Pave,Reg,AllPub,2Story,3,6,Gambrel,Gd,CBlock,TA,1,None,WD,Normal,107400
75,76,180,RM,Pave,Reg,AllPub,SLvl,4,5,Gable,TA,CBlock,TA,1,GdWo,WD,Normal,91000
76,77,20,RL,Pave,IR1,AllPub,1Story,4,7,Gable,TA,CBlock,TA,1,None,WD,Normal,135750
77,78,50,RM,Pave,Reg,AllPub,1.5Fin,5,5,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,127000
78,79,90,RL,Pave,Reg,AllPub,1Story,4,5,Hip,TA,CBlock,TA,0,None,WD,Normal,136500
79,80,50,RM,Pave,Reg,AllPub,2Story,5,6,Gable,TA,PConc,TA,2,MnPrv,WD,Normal,110000
80,81,60,RL,Pave,Reg,AllPub,2Story,6,6,Gable,Gd,CBlock,TA,1,None,WD,Normal,193500
81,82,120,RM,Pave,Reg,AllPub,1Story,6,5,Hip,Gd,PConc,Gd,2,None,WD,Normal,153500
82,83,20,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal,245000
83,84,20,RL,Pave,IR1,AllPub,1Story,5,5,Gable,TA,CBlock,TA,2,None,COD,Normal,126500
84,85,80,RL,Pave,IR1,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,168500
85,86,60,RL,Pave,Reg,AllPub,2Story,8,5,Hip,TA,CBlock,TA,2,None,WD,Normal,260000
86,87,60,RL,Pave,IR2,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,174000
87,88,160,FV,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,New,Partial,164500
88,89,50,C (all),Pave,IR1,AllPub,1.5Fin,3,2,Hip,Fa,CBlock,Fa,0,MnPrv,ConLD,Abnorml,85000
89,90,20,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,PConc,TA,0,None,WD,Normal,123600
90,91,20,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,Slab,None,2,None,WD,Normal,109900
91,92,20,RL,Pave,Reg,AllPub,1Story,5,3,Hip,TA,CBlock,TA,2,GdWo,WD,Abnorml,98600
92,93,30,RL,Pave,IR1,AllPub,1Story,5,7,Gable,Gd,BrkTil,TA,2,None,WD,Normal,163500
93,94,190,C (all),Pave,Reg,AllPub,2.5Unf,6,6,Hip,TA,BrkTil,Fa,2,None,WD,Normal,133900
94,95,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,Gd,PConc,TA,2,None,WD,Normal,204750
95,96,60,RL,Pave,IR2,AllPub,2Story,6,8,Gable,Gd,PConc,Gd,2,None,WD,Normal,185000
96,97,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,214000
97,98,20,RL,Pave,Reg,AllPub,1Story,4,5,Hip,TA,CBlock,TA,1,None,WD,Normal,94750
98,99,30,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,BrkTil,TA,1,None,COD,Abnorml,83000
99,100,20,RL,Pave,IR1,AllPub,1Story,4,5,Gable,TA,CBlock,TA,0,None,WD,Normal,128950
100,101,20,RL,Pave,IR1,AllPub,1Story,6,7,Gable,TA,PConc,TA,2,None,WD,Normal,205000
101,102,60,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal,178000
102,103,90,RL,Pave,Reg,AllPub,1Story,5,5,Gable,Fa,Slab,None,2,None,WD,Alloca,118964
103,104,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,3,None,WD,Normal,198900
104,105,50,RM,Pave,Reg,AllPub,1.5Fin,7,4,Gable,Fa,PConc,TA,1,None,WD,Normal,169500
105,106,60,FV,Pave,Reg,AllPub,2Story,8,5,Hip,TA,PConc,TA,2,None,WD,Normal,250000
106,107,30,RM,Pave,Reg,AllPub,1Story,4,7,Mansard,TA,BrkTil,TA,1,None,WD,Normal,100000
107,108,20,RM,Pave,Reg,AllPub,1Story,5,5,Gable,TA,CBlock,TA,1,None,WD,Partial,115000
108,109,50,RM,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,CBlock,TA,0,None,WD,Normal,115000
109,110,20,RL,Pave,IR1,AllPub,1Story,6,6,Hip,TA,CBlock,TA,2,MnPrv,COD,Normal,190000
110,111,50,RL,Pave,Reg,AllPub,1.5Fin,6,4,Gable,TA,CBlock,Fa,1,None,WD,Normal,136900
111,112,80,RL,Pave,IR1,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,180000
112,113,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,3,None,New,Partial,383970
113,114,20,RL,Pave,Reg,AllPub,1Story,6,5,Hip,Gd,CBlock,TA,2,MnPrv,COD,Abnorml,217000
114,115,70,RL,Pave,IR1,AllPub,2Story,6,8,Gambrel,TA,CBlock,TA,1,MnPrv,WD,Normal,259500
115,116,160,FV,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,176000
116,117,20,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,CBlock,TA,1,None,WD,Normal,139000
117,118,20,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,PConc,TA,2,None,New,Partial,155000
118,119,60,RL,Pave,Reg,AllPub,2Story,7,5,Hip,TA,PConc,TA,3,None,WD,Normal,320000
119,120,60,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,New,Partial,163990
120,121,80,RL,Pave,IR1,AllPub,SLvl,6,5,Flat,TA,CBlock,TA,2,None,WD,Normal,180000
121,122,50,RM,Pave,Reg,AllPub,1.5Fin,4,5,Gable,TA,PConc,TA,1,MnPrv,WD,Normal,100000
122,123,20,RL,Pave,Reg,AllPub,1Story,6,7,Hip,Gd,CBlock,TA,1,None,WD,Normal,136000
123,124,120,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,153900
124,125,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,Gd,CBlock,Fa,2,None,WD,Normal,181000
125,126,190,RM,Pave,Reg,AllPub,1.5Fin,6,8,Gable,Fa,CBlock,TA,0,None,WD,Normal,84500
126,127,120,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal,128000
127,128,45,RM,Pave,IR1,AllPub,1.5Unf,5,7,Gable,Gd,BrkTil,TA,0,None,WD,Normal,87000
128,129,60,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal,155000
129,130,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,2,MnWw,WD,Abnorml,150000
130,131,60,RL,Pave,Reg,AllPub,2Story,7,6,Gable,TA,CBlock,TA,2,GdPrv,WD,Normal,226000
131,132,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,244000
132,133,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,None,WD,Normal,150750
133,134,20,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,220000
134,135,20,RL,Pave,IR1,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,180000
135,136,20,RL,Pave,Reg,AllPub,1Story,7,6,Hip,TA,PConc,TA,2,MnPrv,WD,Normal,174000
136,137,20,RL,Pave,IR1,AllPub,1Story,5,5,Gable,TA,CBlock,TA,1,None,WD,Normal,143000
137,138,90,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,CBlock,TA,3,None,WD,Family,171000
138,139,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,GdPrv,WD,Normal,230000
139,140,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,MnPrv,WD,Normal,231500
140,141,20,RL,Pave,Reg,AllPub,1Story,4,5,Gable,TA,CBlock,TA,0,None,ConLI,Normal,115000
141,142,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,260000
142,143,50,RL,Pave,Reg,AllPub,1.5Fin,5,4,Gable,Fa,CBlock,TA,2,MnPrv,WD,Normal,166000
143,144,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,204000
144,145,90,RM,Pave,Reg,AllPub,1Story,5,5,Gable,TA,CBlock,TA,2,None,ConLI,Abnorml,125000
145,146,160,RM,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,130000
146,147,30,RM,Pave,Reg,AllPub,1Story,5,7,Gable,TA,BrkTil,TA,1,None,WD,Normal,105000
147,148,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,222500
148,149,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,0,None,WD,Normal,141000
149,150,50,RM,Pave,Reg,AllPub,1.5Fin,5,4,Gable,TA,BrkTil,TA,1,None,WD,Normal,115000
150,151,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,122000
151,152,20,RL,Pave,Reg,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,New,Partial,372402
152,153,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,CBlock,TA,2,GdWo,WD,Normal,190000
153,154,20,RL,Pave,Reg,AllPub,1Story,6,7,Flat,TA,CBlock,TA,2,None,WD,Normal,235000
154,155,30,RM,Pave,Reg,AllPub,1Story,6,5,Gable,TA,BrkTil,TA,1,None,WD,Family,125000
155,156,50,RL,Pave,Reg,AllPub,1.5Fin,6,5,Gable,TA,BrkTil,TA,0,None,WD,Normal,79000
156,157,20,RL,Pave,Reg,AllPub,1Story,5,7,Hip,TA,CBlock,None,2,None,WD,Normal,109500
157,158,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial,269500
158,159,60,FV,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,GdWo,WD,Normal,254900
159,160,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,320000
160,161,20,RL,Pave,IR1,AllPub,1Story,6,6,Gable,TA,PConc,TA,2,None,WD,Normal,162500
161,162,60,RL,Pave,IR1,AllPub,2Story,9,5,Gable,TA,PConc,TA,3,None,WD,Normal,412500
162,163,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,220000
163,164,45,RL,Pave,Reg,AllPub,1.5Unf,4,6,Gable,TA,CBlock,TA,0,MnPrv,WD,Normal,103200
164,165,40,RM,Pave,Reg,AllPub,1Story,6,7,Gable,Gd,BrkTil,TA,1,None,WD,Normal,152000
165,166,190,RL,Pave,Reg,AllPub,1.5Fin,5,7,Gable,Gd,BrkTil,TA,0,None,WD,Normal,127500
166,167,20,RL,Pave,IR1,AllPub,1Story,5,5,Hip,TA,CBlock,TA,1,GdWo,COD,Normal,190000
167,168,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,New,Partial,325624
168,169,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,183500
169,170,20,RL,Pave,IR1,AllPub,1Story,8,6,Hip,TA,CBlock,TA,2,None,WD,Normal,228000
170,171,50,RM,Pave,IR1,AllPub,1.5Fin,5,6,Gable,TA,CBlock,TA,2,None,WD,Normal,128500
171,172,20,RL,Pave,IR1,AllPub,1Story,6,5,Hip,TA,CBlock,Gd,2,None,WD,Normal,215000
172,173,160,RL,Pave,IR1,AllPub,2Story,7,7,Gable,Gd,PConc,Gd,2,None,WD,Normal,239000
173,174,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,None,COD,Normal,163000
174,175,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,Fa,2,None,WD,Normal,184000
175,176,20,RL,Pave,Reg,AllPub,1Story,6,7,Gable,TA,CBlock,Gd,2,MnPrv,WD,Normal,243000
176,177,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,211000
177,178,50,RL,Pave,Reg,AllPub,1.5Fin,5,5,Gable,Gd,CBlock,TA,2,None,WD,Normal,172500
178,179,20,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,None,New,Partial,501837
179,180,30,RM,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,None,WD,Normal,100000
180,181,160,FV,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,177000
181,182,70,RL,Pave,Reg,AllPub,2Story,7,6,Gable,TA,BrkTil,TA,1,None,WD,Normal,200100
182,183,20,RL,Pave,Reg,AllPub,1Story,5,6,Hip,TA,PConc,None,1,MnPrv,WD,Normal,120000
183,184,50,RM,Pave,Reg,AllPub,1.5Fin,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,200000
184,185,50,RL,Pave,IR1,AllPub,1.5Fin,5,8,Gable,TA,PConc,TA,2,MnPrv,WD,Normal,127000
185,186,75,RM,Pave,IR2,AllPub,2.5Fin,10,9,Gable,Gd,BrkTil,TA,3,GdPrv,WD,Normal,475000
186,187,80,RL,Pave,IR1,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,GdPrv,WD,Normal,173000
187,188,50,RL,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,135000
188,189,90,RL,Pave,Reg,AllPub,SFoyer,5,5,Gable,TA,CBlock,TA,2,None,WD,Alloca,153337
189,190,120,RL,Pave,Reg,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal,286000
190,191,70,RL,Pave,Reg,AllPub,2Story,8,8,Hip,TA,CBlock,Gd,2,None,WD,Normal,315000
191,192,60,RL,Pave,IR1,AllPub,2Story,7,9,Gable,TA,CBlock,TA,2,None,WD,Normal,184000
192,193,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,192000
193,194,160,RM,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,130000
194,195,20,RL,Pave,IR1,AllPub,1Story,5,7,Hip,TA,CBlock,TA,1,None,WD,Normal,127000
195,196,160,RL,Pave,Reg,AllPub,2Story,6,6,Gable,TA,CBlock,TA,2,None,WD,Normal,148500
196,197,20,RL,Pave,Reg,AllPub,1Story,7,5,Hip,TA,PConc,TA,3,None,New,Partial,311872
197,198,75,RL,Pave,Reg,AllPub,2Story,8,4,Gable,Gd,PConc,TA,2,GdPrv,WD,Abnorml,235000
198,199,75,RM,Pave,Reg,AllPub,2.5Fin,6,6,Gable,TA,CBlock,TA,0,MnPrv,WD,Abnorml,104000
199,200,20,RL,Pave,Reg,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,WD,Normal,274900
200,201,20,RM,Pave,Reg,AllPub,1Story,4,5,Gable,TA,PConc,TA,2,None,WD,Normal,140000
201,202,20,RL,Pave,Reg,AllPub,1Story,6,6,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,171500
202,203,50,RL,Pave,Reg,AllPub,1.5Fin,6,6,Gable,Gd,BrkTil,TA,1,None,COD,Normal,112000
203,204,120,RM,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,149000
204,205,50,RM,Pave,Reg,AllPub,1.5Fin,5,7,Gable,TA,CBlock,TA,1,MnWw,WD,Normal,110000
205,206,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,180500
206,207,20,RL,Pave,IR1,AllPub,1Story,5,5,Gable,Gd,CBlock,TA,1,None,WD,Normal,143900
207,208,20,RL,Pave,IR1,AllPub,1Story,4,5,Gable,TA,PConc,TA,1,GdWo,WD,Normal,141000
208,209,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,CBlock,TA,2,None,WD,Normal,277000
209,210,20,RL,Pave,Reg,AllPub,1Story,6,7,Hip,TA,CBlock,TA,2,MnPrv,WD,Normal,145000
210,211,30,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,0,None,WD,Normal,98000
211,212,20,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal,186000
212,213,60,FV,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,252678
213,214,20,RL,Pave,IR2,AllPub,1Story,5,5,Gable,TA,PConc,TA,2,None,WD,Normal,156000
214,215,60,RL,Pave,IR1,AllPub,2Story,6,7,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,161750
215,216,20,RL,Pave,IR1,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal,134450
216,217,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal,210000
217,218,70,RM,Pave,Reg,AllPub,2Story,4,4,Gable,TA,CBlock,TA,1,None,WD,Family,107000
218,219,50,RL,Pave,IR1,AllPub,1.5Fin,7,9,Gable,Gd,CBlock,TA,2,None,WD,Normal,311500
219,220,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,167240
220,221,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial,204900
221,222,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,ConLI,Normal,200000
222,223,60,RL,Pave,Reg,AllPub,2Story,6,6,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal,179900
223,224,20,RL,Pave,Reg,AllPub,1Story,4,6,Gable,TA,CBlock,TA,2,None,WD,Abnorml,97000
224,225,20,RL,Pave,Reg,AllPub,1Story,10,5,Hip,TA,PConc,TA,3,None,WD,Normal,386250
225,226,160,RM,Pave,Reg,AllPub,2Story,5,5,Gable,TA,CBlock,TA,1,None,COD,Abnorml,112000
226,227,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,3,None,WD,Abnorml,290000
227,228,160,RM,Pave,Reg,AllPub,2Story,6,6,Gable,TA,CBlock,TA,1,None,WD,Normal,106000
