,Id,MSSubClass,MSZoning,Street,LotShape,Utilities,HouseStyle,OverallQual,OverallCond,RoofStyle,ExterCond,Foundation,BsmtCond,GarageCars,Fence,SaleType,SaleCondition
97,1558,50,RL,Pave,IR1,AllPub,1.5Fin,6,5,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal
98,1559,70,C (all),Pave,IR1,AllPub,2Story,4,1,Gambrel,TA,CBlock,TA,0,None,WD,Abnorml
99,1560,190,RH,Pave,Reg,AllPub,1.5Fin,5,7,Gable,Gd,BrkTil,TA,2,None,COD,Normal
100,1561,90,RL,Pave,Reg,AllPub,1Story,4,3,Gable,Fa,CBlock,TA,0,None,WD,Normal
101,1562,20,RL,Pave,Reg,AllPub,1Story,5,7,Hip,TA,CBlock,TA,1,None,WD,Normal
102,1563,20,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,1,None,WD,Normal
103,1564,90,RL,Pave,IR1,AllPub,SFoyer,5,5,Gable,TA,CBlock,TA,2,None,WD,Normal
104,1565,60,RL,Pave,Reg,AllPub,2Story,5,5,Gable,Gd,CBlock,Gd,2,MnPrv,WD,Normal
105,1566,20,RL,Pave,IR1,AllPub,1Story,7,7,Hip,Gd,CBlock,TA,2,None,WD,Normal
106,1567,30,RL,Pave,Reg,AllPub,1Story,4,4,Gable,TA,BrkTil,TA,2,None,WD,Normal
107,1568,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
108,1569,50,RL,Pave,Reg,AllPub,1.5Fin,3,4,Gable,TA,CBlock,TA,1,None,WD,Normal
109,1570,20,RL,Pave,Reg,AllPub,1Story,6,7,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal
110,1571,50,RL,Pave,Reg,AllPub,1.5Fin,4,6,Gable,TA,CBlock,Fa,1,MnPrv,WD,Normal
111,1572,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,1,None,WD,Normal
112,1573,20,RL,Pave,IR2,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,Con,Partial
113,1574,20,RL,Pave,IR1,AllPub,1Story,5,3,Gable,Fa,CBlock,TA,2,None,COD,Normal
114,1575,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal
115,1576,60,RL,Pave,IR1,AllPub,2Story,6,7,Gable,Gd,PConc,TA,4,None,WD,Normal
116,1577,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
117,1578,50,RL,Pave,IR1,AllPub,1.5Fin,6,8,Gable,TA,PConc,Gd,2,None,WD,Normal
118,1579,85,RL,Pave,Reg,AllPub,SFoyer,5,5,Gable,Gd,PConc,Fa,2,GdPrv,WD,Normal
119,1580,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
120,1581,20,RL,Pave,IR1,AllPub,1Story,5,8,Gable,Gd,CBlock,TA,1,MnPrv,WD,Normal
121,1582,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal
122,1583,20,RL,Pave,Reg,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,WD,Normal
123,1584,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
124,1585,120,RM,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
125,1586,30,RL,Pave,Reg,AllPub,1Story,3,6,Gable,Gd,CBlock,None,1,None,ConLD,Normal
126,1587,20,RL,Pave,Reg,AllPub,1Story,5,6,Gable,Gd,CBlock,TA,1,MnPrv,Oth,Abnorml
127,1588,20,RL,Pave,IR1,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,MnPrv,WD,Normal
128,1589,50,RL,Pave,Reg,AllPub,1.5Fin,4,5,Gable,TA,CBlock,TA,2,None,WD,Abnorml
129,1590,80,RL,Pave,Reg,AllPub,SLvl,6,6,Gable,TA,CBlock,TA,1,None,WD,Normal
130,1591,20,RL,Pave,Reg,AllPub,1Story,4,5,Hip,TA,CBlock,TA,0,MnPrv,WD,Normal
131,1592,30,RL,Pave,Reg,AllPub,1Story,5,6,Gable,TA,BrkTil,TA,1,MnPrv,WD,Normal
132,1593,30,RL,Pave,Reg,AllPub,1Story,6,6,Gable,TA,CBlock,TA,2,None,WD,Normal
133,1594,90,RH,Pave,Reg,AllPub,2Story,4,6,Flat,TA,Slab,None,0,None,WD,Normal
134,1595,50,RL,Pave,Reg,AllPub,1.5Fin,5,2,Gable,TA,PConc,Fa,0,None,WD,Normal
135,1596,50,RL,Pave,IR1,AllPub,1.5Fin,7,6,Gable,Gd,BrkTil,TA,1,None,WD,Normal
136,1597,90,RL,Pave,Reg,AllPub,2Story,5,6,Gable,Gd,CBlock,TA,2,None,WD,Normal
137,1598,80,RL,Pave,IR1,AllPub,SLvl,7,6,Gable,TA,PConc,TA,2,None,WD,Normal
138,1599,120,RM,Pave,IR1,AllPub,1Story,8,6,Gable,TA,CBlock,TA,2,None,WD,Normal
139,1600,120,RM,Pave,IR1,AllPub,1Story,8,5,Gable,TA,CBlock,TA,2,None,WD,Normal
140,1601,30,RM,Pave,Reg,AllPub,1Story,2,5,Gable,TA,BrkTil,TA,1,None,ConLw,Normal
141,1602,50,RM,Pave,Reg,AllPub,1.5Fin,6,5,Gable,TA,BrkTil,TA,1,MnPrv,COD,Normal
142,1603,30,C (all),Grvl,Reg,AllPub,1Story,4,7,Hip,Fa,CBlock,TA,1,None,WD,Alloca
143,1604,120,RM,Pave,IR1,AllPub,1Story,8,5,Hip,TA,PConc,TA,2,None,WD,Normal
144,1605,60,RL,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
145,1606,80,RL,Pave,Reg,AllPub,SLvl,6,7,Gable,TA,CBlock,TA,2,GdPrv,WD,Normal
146,1607,90,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,TA,2,None,ConLD,Normal
147,1608,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,3,None,WD,Normal
148,1609,20,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,New,Partial
149,1610,60,RL,Pave,Reg,AllPub,2Story,5,5,Gable,TA,PConc,TA,2,None,WD,Normal
150,1611,20,RL,Pave,Reg,AllPub,1Story,5,5,Hip,TA,CBlock,TA,2,None,WD,Normal
151,1612,20,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,PConc,TA,2,None,WD,Normal
152,1613,20,RL,Pave,Reg,AllPub,1Story,5,5,Gable,TA,PConc,TA,2,None,WD,Normal
153,1614,120,RM,Pave,Reg,AllPub,1Story,5,6,Gable,TA,CBlock,TA,1,None,WD,Normal
154,1615,160,RM,Pave,Reg,AllPub,2Story,4,7,Gable,TA,CBlock,TA,0,None,WD,Normal
155,1616,160,RM,Pave,Reg,AllPub,2Story,4,4,Gable,TA,CBlock,TA,0,None,WD,Normal
156,1617,160,RM,Pave,Reg,AllPub,2Story,4,6,Gable,TA,CBlock,TA,1,None,WD,Normal
157,1618,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,Gd,CBlock,TA,1,None,ConLD,Normal
158,1619,20,RL,Pave,Reg,AllPub,1Story,5,7,Gable,TA,CBlock,TA,2,MnPrv,WD,Normal
159,1620,90,RL,Pave,Reg,AllPub,2Story,5,2,Gable,Po,PConc,TA,2,None,WD,Normal
160,1621,60,RL,Pave,Reg,AllPub,2Story,5,5,Gable,TA,PConc,TA,2,GdWo,WD,Normal
161,1622,50,RL,Pave,IR1,AllPub,1.5Fin,5,5,Gable,TA,CBlock,TA,1,None,WD,Normal
162,1623,20,RL,Pave,Reg,AllPub,1Story,8,5,Hip,Gd,PConc,Gd,2,GdWo,WD,Normal
163,1624,60,RL,Pave,Reg,AllPub,2Story,6,5,Gable,Gd,PConc,TA,2,None,WD,Normal
164,1625,20,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,CBlock,Fa,1,None,WD,Normal
165,1626,20,RL,Pave,Reg,AllPub,1Story,6,5,Hip,TA,CBlock,TA,2,None,WD,Normal
166,1627,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
167,1628,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
168,1629,80,RL,Pave,Reg,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
169,1630,120,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
170,1631,120,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
171,1632,120,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
172,1633,80,RL,Pave,IR1,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
173,1634,60,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
174,1635,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
175,1636,20,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
176,1637,60,RL,Pave,Reg,AllPub,2Story,5,6,Gable,TA,PConc,TA,2,None,WD,Normal
177,1638,60,RL,Pave,IR1,AllPub,2Story,7,6,Gable,TA,CBlock,TA,2,None,WD,Abnorml
178,1639,20,RL,Pave,Reg,AllPub,1Story,6,6,Gable,TA,PConc,TA,2,None,WD,Normal
179,1640,60,RL,Pave,IR1,AllPub,2Story,7,7,Gable,TA,CBlock,TA,2,None,WD,Normal
180,1641,20,RL,Pave,Reg,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
181,1642,60,FV,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
182,1643,60,FV,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
183,1644,60,FV,Pave,Reg,AllPub,2Story,8,5,Gable,TA,PConc,TA,2,None,WD,Normal
184,1645,20,RL,Pave,IR1,AllPub,1Story,5,7,Gable,TA,CBlock,TA,2,None,WD,Normal
185,1646,20,RL,Pave,Reg,AllPub,1Story,6,6,Hip,TA,CBlock,TA,2,GdWo,WD,Normal
186,1647,20,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,CBlock,TA,2,None,WD,Normal
187,1648,20,RL,Pave,IR1,AllPub,1Story,5,5,Gable,TA,CBlock,TA,2,None,COD,Normal
188,1649,20,RL,Pave,IR1,AllPub,1Story,5,7,Gable,TA,CBlock,TA,1,None,WD,Normal
189,1650,20,RL,Pave,Reg,AllPub,1Story,4,6,Gable,TA,CBlock,TA,2,GdPrv,WD,Abnorml
190,1651,20,RL,Pave,Reg,AllPub,1Story,4,7,Gable,Gd,CBlock,TA,2,GdWo,WD,Normal
191,1652,160,RM,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,1,None,WD,Normal
192,1653,160,RM,Pave,Reg,AllPub,2Story,6,6,Gable,TA,CBlock,TA,1,None,WD,Normal
193,1654,160,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal
194,1655,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,CBlock,TA,2,None,WD,Normal
195,1656,160,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal
196,1657,160,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal
197,1658,160,RL,Pave,Reg,AllPub,2Story,6,5,Gable,TA,CBlock,TA,2,None,WD,Normal
198,1659,120,RL,Pave,Reg,AllPub,1Story,7,6,Gable,TA,CBlock,TA,1,None,WD,Normal
199,1660,20,RL,Pave,Reg,AllPub,1Story,5,7,Hip,TA,PConc,TA,2,None,WD,Normal
200,1661,60,RL,Pave,Reg,AllPub,2Story,9,5,Hip,TA,PConc,TA,3,None,WD,Normal
201,1662,60,RL,Pave,Reg,AllPub,2Story,9,5,Gable,TA,PConc,TA,3,None,New,Partial
202,1663,20,RL,Pave,Reg,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,None,WD,Normal
203,1664,20,RL,Pave,Reg,AllPub,1Story,10,5,Hip,TA,PConc,TA,3,None,WD,Normal
204,1665,20,RL,Pave,Reg,AllPub,1Story,9,5,Gable,TA,PConc,TA,3,None,WD,Normal
205,1666,20,RL,Pave,IR1,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,WD,Normal
206,1667,60,RL,Pave,IR3,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Family
207,1668,20,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,None,ConLI,Normal
208,1669,20,RL,Pave,IR1,AllPub,1Story,9,5,Gable,TA,PConc,Gd,3,None,WD,Normal
209,1670,20,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,None,WD,Normal
210,1671,20,RL,Pave,IR1,AllPub,1Story,7,5,Hip,TA,PConc,TA,2,None,WD,Normal
211,1672,20,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,3,MnPrv,WD,Normal
212,1673,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
213,1674,20,RL,Pave,IR1,AllPub,1Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
214,1675,120,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
215,1676,120,RL,Pave,IR1,AllPub,1Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
216,1677,120,RL,Pave,IR1,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
217,1678,20,RL,Pave,IR1,AllPub,1Story,10,5,Hip,TA,PConc,TA,3,None,WD,Abnorml
218,1679,20,RL,Pave,IR1,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,WD,Normal
219,1680,120,RL,Pave,IR1,AllPub,1Story,9,5,Hip,TA,PConc,TA,2,None,New,Partial
220,1681,120,RL,Pave,Reg,AllPub,1Story,9,5,Hip,TA,PConc,TA,2,None,WD,Normal
221,1682,20,RL,Pave,Reg,AllPub,1Story,8,5,Hip,TA,PConc,TA,3,None,WD,Normal
222,1683,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
223,1684,60,RL,Pave,Reg,AllPub,2Story,7,5,Gable,TA,PConc,Gd,2,None,WD,Normal
224,1685,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
225,1686,120,RL,Pave,Reg,AllPub,1Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
226,1687,80,RL,Pave,IR1,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
227,1688,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
228,1689,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,MnPrv,WD,Normal
229,1690,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
230,1691,60,RL,Pave,IR1,AllPub,2Story,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
231,1692,60,RL,Pave,IR1,AllPub,2Story,8,5,Gable,TA,PConc,TA,3,None,WD,Normal
232,1693,80,RL,Pave,IR1,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
233,1694,60,RL,Pave,IR1,AllPub,2Story,6,5,Gable,TA,PConc,TA,2,None,WD,Normal
234,1695,80,RL,Pave,Reg,AllPub,SLvl,7,5,Gable,TA,PConc,TA,2,None,WD,Normal
235,1696,60,RL,Pave,IR2,AllPub,2Story,7,5,Gable,TA,PConc,TA,3,None,WD,Normal
236,1697,80,RL,Pave,IR1,AllPub,SLvl,7,6,Gable,TA,PConc,TA,2,None,WD,Normal
